Code,Name,Description
ASTROW1,Basic Astronomy,"A survey of the development of astronomy with an emphasis on understanding the observable properties of the solar system, the sun and other stars, our own and other galaxies, and the entire universe. Topics of current interest will be discussed as ti..."
PHYS1,Basic Physics,"Introduction to classical mechanics for students in engineering and the physical sciences. Measurement, units, and foundations of physics; vectors; kinematics; circular motion; forces, mass, and Newton's laws; center of mass; momentum; work and energ..."
PHYS10,Concepts of Physics,A survey of important concepts in physics for the non-science major. The contents will vary depending on the interests of the students and instructor.
PHYS100A,Methods of Theoretical Physics,"Linear Algebra: Vector spaces, operators, spectral decomposition. Topics may include Sturm-Liouville equations, special functions. Fourier series and Fourier transforms, Dirac delta-function."
PHYS100B,Methods of Theoretical Physics,"Analytic functions, contour integrals and branch cuts. Conformal mapping. Laplace transforms. Asymptotic series and the gamma function. Greens functions."
PHYS103,Intermediate Mechanics and Special Relativity,"Newtonian mechanics in 3D. Conservation laws. Complex numbers. Oscillations. Inertial reference frames, Lorentz transformations, relativistic momentum and energy, four-vectors."
PHYS104,Advanced Mechanics,Calculus of variations. Lagrangian and Hamiltonian mechanics. Central force problems and collision theory. Non-inertial reference frames. Coupled oscillations and waves.
PHYS106,Nonlinear Phenomena,"An introduction to nonlinear phenomena. Flows and bifurcations in one and two dimensions, chaos, fractals, strange attractors. Applications to physics, engineering, chemistry, and biology."
PHYS108,Qualitative Analysis in Physics,"The emphasis is on developing physical intuition to think through a problem. This course provides methods, such as dimensional analysis, scaling, and other ways to guess the answer, in lieu of carrying out detailed exact calculations."
PHYS110A,Electromagnetism,"Electrostatics, Laplace's equation, method of images, separation of variables, multipole expansion, magnetostatics, electric and magnetic fields in matter."
PHYS110B,Electromagnetism,"Electrodynamics, Maxwells equations, conservation laws, electromagnetic waves, potentials and fields for moving charges, radiation, special relativity."
PHYS115A,Quantum Mechanics,"The postulates of quantum mechanics, the Schrdinger equation and its consequences, the quantum harmonic oscillator and other one dimensional quantum systems, Hilbert Space and Dirac notation, the hydrogen atom."
PHYS115B,Quantum Mechanics,"Spin and angular momentum, Clebsch-Gordan coefficients, identical particles, symmetries and conservation laws, time independent perturbation theory."
PHYS115C,Quantum Mechanics,"The variational principle, time dependent perturbation theory, the adiabatic theorem. Topics from: WKB approximation, the Dirac equation, Berrys phase, Bells inequality, quantum cryptography, quantum computation."
PHYS118,Group Theory for Physicists,"The emphasis is on developing some intuition about the role of symmetries in physics, rather than going through rigorous mathematical proofs. Theorems will be proved at the level of rigor customary among physicists."
PHYS119A,Thermal and Statistical Physics,"Principles of statistical physics, entropy, large numbers, thermodynamic principles, microcanonical ensemble, ideal gas, free energy, chemical potential, selected applications. Canonical ensemble, if time permits."
PHYS119B,Thermal and Statistical Physics,"Canonical ensemble and partition functions, grand canonical ensemble, quantum statistics, Fermi-Dirac, Bose-Einstein distribution laws. Topics from: Brownian motion, Langevin equation, dissipation and fluctuations, elementary kinetic theory, weakly i..."
PHYS120,"Physics of California Waves, Weather, Quakes and Fires","Why do the waves hit the beach every five seconds? This course teaches students the relevant fluid dynamics and allows them to apply it to natural phenomena of California: seismic waves, tsunamis, maximum tree heights, fluid flow around fish."
PHYS121A,The Practice of Science,"Provides experience in pursuing careers within science and engineering through discussions with researchers, lectures on ethics, funding, intellectual property, and commercial innovation. Students prepare a focused research proposal that is pursued i..."
